,stock_symbol,stock_url,stock_name
0,ESE.V,/quote/ESE.V,ESE Entertainment Inc.
1,PERK.CN,/quote/PERK.CN,Perk Labs Inc.
2,GNFI.V,/quote/GNFI.V,genifi inc.
3,AION.CN,/quote/AION.CN,Aion Therapeutic Inc.
4,ALM.V,/quote/ALM.V,Alliance Mining Corp.
5,FT.TO,/quote/FT.TO,Fortune Minerals Limited
6,EGT.V,/quote/EGT.V,Eguana Technologies Inc.
7,MDM.V,/quote/MDM.V,Madoro Metals Corp.
8,KSUM.V,/quote/KSUM.V,Alset Capital Inc.
9,SPMT.CN,/quote/SPMT.CN,Spearmint Resources Inc.
10,ADD.V,/quote/ADD.V,Arctic Star Exploration Corp.
11,ABZ.V,/quote/ABZ.V,AsiaBaseMetals Inc.
12,PGLD.V,/quote/PGLD.V,P2 Gold Inc.
13,RKL.CN,/quote/RKL.CN,Rockland Resources Ltd.
14,PSYC.CN,/quote/PSYC.CN,Psyched Wellness Ltd.
15,TSK.TO,/quote/TSK.TO,Talisker Resources Ltd.
16,DPRO.CN,/quote/DPRO.CN,Draganfly Inc.
17,MERG.V,/quote/MERG.V,Metal Energy Corp.
18,ULT.V,/quote/ULT.V,Ultra Lithium Inc.
19,FAIR.V,/quote/FAIR.V,Fairchild Gold Corp.
20,PDFI.CN,/quote/PDFI.CN,Prophecy DeFi Inc.
21,JRV.V,/quote/JRV.V,Jervois Global Limited
22,DRY.V,/quote/DRY.V,DRYDEN GOLD CORP
23,ATOM.V,/quote/ATOM.V,Atomic Minerals Corporation
24,RAGE.V,/quote/RAGE.V,Renegade Gold Inc.
25,ESE.V,/quote/ESE.V,ESE Entertainment Inc.
26,PERK.CN,/quote/PERK.CN,Perk Labs Inc.
27,GNFI.V,/quote/GNFI.V,genifi inc.
28,AION.CN,/quote/AION.CN,Aion Therapeutic Inc.
29,ALM.V,/quote/ALM.V,Alliance Mining Corp.
30,FT.TO,/quote/FT.TO,Fortune Minerals Limited
31,EGT.V,/quote/EGT.V,Eguana Technologies Inc.
32,MDM.V,/quote/MDM.V,Madoro Metals Corp.
33,KSUM.V,/quote/KSUM.V,Alset Capital Inc.
34,SPMT.CN,/quote/SPMT.CN,Spearmint Resources Inc.
35,ADD.V,/quote/ADD.V,Arctic Star Exploration Corp.
36,ABZ.V,/quote/ABZ.V,AsiaBaseMetals Inc.
37,PGLD.V,/quote/PGLD.V,P2 Gold Inc.
38,RKL.CN,/quote/RKL.CN,Rockland Resources Ltd.
39,PSYC.CN,/quote/PSYC.CN,Psyched Wellness Ltd.
40,TSK.TO,/quote/TSK.TO,Talisker Resources Ltd.
41,DPRO.CN,/quote/DPRO.CN,Draganfly Inc.
42,MERG.V,/quote/MERG.V,Metal Energy Corp.
43,ULT.V,/quote/ULT.V,Ultra Lithium Inc.
44,FAIR.V,/quote/FAIR.V,Fairchild Gold Corp.
45,PDFI.CN,/quote/PDFI.CN,Prophecy DeFi Inc.
46,JRV.V,/quote/JRV.V,Jervois Global Limited
47,DRY.V,/quote/DRY.V,DRYDEN GOLD CORP
48,ATOM.V,/quote/ATOM.V,Atomic Minerals Corporation
49,RAGE.V,/quote/RAGE.V,Renegade Gold Inc.
